,Date,Count
42,2022-06-03,2813
36,2022-06-04,2851
37,2022-06-05,2846
78,2022-06-06,2614
95,2022-06-07,2491
104,2022-06-08,2415
92,2022-06-09,2519
56,2022-06-10,2719
21,2022-06-11,2976
45,2022-06-12,2791
91,2022-06-13,2521
81,2022-06-14,2591
96,2022-06-15,2484
90,2022-06-16,2525
11,2022-06-17,3083
40,2022-06-18,2824
60,2022-06-19,2707
102,2022-06-20,2445
75,2022-06-21,2621
38,2022-06-22,2830
33,2022-06-23,2859
5,2022-06-24,3189
41,2022-06-25,2816
65,2022-06-26,2661
93,2022-06-27,2508
106,2022-06-28,2399
94,2022-06-29,2494
87,2022-06-30,2554
68,2022-07-01,2643
64,2022-07-02,2663
79,2022-07-03,2606
72,2022-07-04,2630
107,2022-07-05,2387
109,2022-07-06,2307
105,2022-07-07,2415
77,2022-07-08,2616
62,2022-07-09,2681
55,2022-07-10,2723
98,2022-07-11,2463
99,2022-07-12,2451
97,2022-07-13,2476
100,2022-07-14,2449
101,2022-07-15,2446
84,2022-07-16,2579
89,2022-07-17,2543
108,2022-07-18,2337
103,2022-07-19,2441
61,2022-07-20,2692
76,2022-07-21,2619
57,2022-07-22,2716
28,2022-07-23,2915
14,2022-07-24,3028
73,2022-07-25,2628
88,2022-07-26,2547
70,2022-07-27,2642
43,2022-07-28,2802
17,2022-07-29,3001
19,2022-07-30,2978
7,2022-07-31,3126
53,2022-08-01,2743
35,2022-08-02,2855
22,2022-08-03,2943
83,2022-08-04,2585
49,2022-08-05,2768
31,2022-08-06,2881
30,2022-08-07,2893
74,2022-08-08,2623
69,2022-08-09,2642
86,2022-08-10,2556
46,2022-08-11,2785
25,2022-08-12,2933
20,2022-08-13,2977
16,2022-08-14,3011
71,2022-08-15,2636
66,2022-08-16,2650
52,2022-08-17,2746
47,2022-08-18,2775
24,2022-08-19,2937
10,2022-08-20,3109
12,2022-08-21,3044
80,2022-08-22,2595
82,2022-08-23,2589
59,2022-08-24,2708
67,2022-08-25,2647
29,2022-08-26,2896
6,2022-08-27,3132
26,2022-08-28,2928
50,2022-08-29,2766
63,2022-08-30,2669
44,2022-08-31,2794
32,2022-09-01,2866
8,2022-09-02,3123
4,2022-09-03,3231
13,2022-09-04,3043
51,2022-09-05,2761
85,2022-09-06,2557
48,2022-09-07,2775
1,2022-09-08,3368
15,2022-09-09,3027
2,2022-09-10,3301
0,2022-09-11,3375
27,2022-09-12,2921
23,2022-09-13,2942
39,2022-09-14,2829
54,2022-09-15,2725
18,2022-09-16,2986
3,2022-09-17,3260
9,2022-09-18,3121
58,2022-09-19,2708
34,2022-09-20,2857
